Название организации;Город;Телефон;Ссылка на сайт;Соц. сети
Юридическая консультация Галиной Натальи; Самара;+7 (993) 993-70-43;https://jurist163.ru/;[[' viber', 'https://viber.click/79272603899'], [' vkontakte', 'https://vk.com/club22200721'], [' whatsapp', 'https://wa.me/79272603899'], [' youtube', 'https://www.youtube.com/watch?v=uwjQZDODB6o']]
Юридические услуги; Одинцово;+7 (925) 175-15-73;https://malkin.house/;[[' telegram', 'https://t.me/+79251751573'], [' viber', 'https://viber.click/79251751573'], [' vkontakte', 'https://vk.com/malkinsa'], [' whatsapp', 'https://wa.me/79251751573'], [' youtube', 'https://www.youtube.com/watch?v=ItzVC3RpWoI']]
ЮристЪ; Орск;+7 (3532) 48-66-02;https://oooyurist56.ru/;[[' vkontakte', 'https://vk.com/yurist_36_37_38'], [' whatsapp', 'https://wa.me/79292806569']]
Центр Юридических Услуг; Краснодар;+7 (993) 992-50-82;https://цюу.рф/;[[' telegram', 'https://t.me/89280444407'], [' viber', 'https://viber.click/79280444407'], [' whatsapp', 'https://wa.me/89280444407']]
ЮрПом; Нижний Новгород;+7 (831) 211-96-23;https://юридическая-помощь-нн.рф/;[[' telegram', 'https://t.me/urpom_rf'], [' viber', 'https://viber.click/79107906940'], [' vkontakte', 'https://vk.com/urpomrf'], [' whatsapp', 'https://wa.me/79107906940'], [' youtube', 'https://youtube.com/@user-rr2ik8zf7s/featured']]
Юридическая группа Никиты Кулачкина; Балашиха;+7 (926) 263-07-41;https://kulachkin.ru/;[[' telegram', 'https://t.me/kulachkin'], [' viber', 'https://viber.click/89262630741'], [' vkontakte', 'https://vk.com/kulaki'], [' whatsapp', 'https://wa.me/89262630741'], [' youtube', 'https://www.youtube.com/@kulachkin/']]
Юридическая компания Ваше Право; Электросталь;+7 (958) 577-63-61;http://www.vashe.su/;[[' vkontakte', 'https://vk.com/ru_lawyers']]
Бизнес-Юрист; Уфа;8 (800) 600-37-40;https://b-urist.ru/?utm_source=map;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Бизнес-Юрист; Челябинск;8 (800) 600-37-40;https://b-urist.ru/?utm_source=map;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Бюро юридических услуг; Москва;+7 (495) 715-66-36;http://www.бюроюруслуг.рф/;[[' telegram', 'https://t.me/Elena_S_Klevtsova'], [' whatsapp', 'https://wa.me/79250484343']]
Международное юридическое бюро; 10;8 (800) 770-74-73;https://ilo-co.com/;[[' telegram', 'https://t.me/irek_safin'], [' vkontakte', 'https://vk.com/ilo_russia']]
Право на Защиту; корп. 5;+7 (812) 942-69-66;https://asp.spb.ru/;[[' ok', 'http://ok.ru/vadim.gadetsky'], [' youtube', 'http://youtube.com/c/%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D0%BD%D0%B0%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D1%83'], [' telegram', 'https://t.me/+7(921)942-69-66'], [' viber', 'https://viber.click/79219426966'], [' vkontakte', 'https://vk.com/public177940454'], [' whatsapp', 'https://wa.me/79219426966']]
Юридическая компания Aqurat; 13;+7 (904) 551-79-35;http://company.aqurat-spb.ru/;[[' vkontakte', 'https://vk.com/yurist_v_spb'], [' whatsapp', 'https://wa.me/79045517935']]
Юридические услуги; Гомель;+375 44 593-94-52;http://jurist-gomel.by/;[[' viber', 'https://viber.click/375298395245'], [' whatsapp', 'https://wa.me/375298395245']]
Бизнес-Юрист; Екатеринбург;8 (800) 600-38-44;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Мой Источник Права; Москва;+7 (499) 325-31-21;https://advokat-malov.ru/;[[' telegram', 'https://t.me/law_mip_bot'], [' vkontakte', 'https://vk.com/mipconsult'], [' youtube', 'https://www.youtube.com/channel/UCZQM0V9-F3fSXP9eqIMsDbw']]
Юридические услуги - Юристы 24/7; Белгород;+7 (930) 086-18-85;https://www.arbitr-rf.ru/;[[' telegram', 'https://t.me/M_M_S_31'], [' vkontakte', 'https://vk.com/m.urist'], [' whatsapp', 'https://wa.me/79300861885']]
Международное юридическое бюро; Казань;8 (800) 770-74-73;https://ilo-co.com/;[]
Юридическая компания Сергей Дадашьянц и партнеры; Саранск;+7 (8342) 30-79-90;;[]
Адвокат Ивлев Сергей Сергеевич; Оренбург;+7 (3532) 29-61-71;http://advokativlev.ru/;[[' telegram', 'https://t.me/+79123512642'], [' viber', 'https://viber.click/79123512642'], [' vkontakte', 'https://vk.com/advokat_ivlev'], [' whatsapp', 'https://wa.me/79123512642'], [' youtube', 'https://www.youtube.com/channel/UCx7IcrwL--WjiMB9OKLXLHg']]
БоссБанкрот; Уфа;+7 (927) 945-47-03;https://bossbankrot.ru/;[[' telegram', 'https://t.me/bossbankrot'], [' vkontakte', 'https://vk.com/probankrotctvo'], [' whatsapp', 'https://wa.me/79279454703'], [' youtube', 'https://youtube.com/@Bossbankrot']]
Юридический центр; Железногорск;+7 (961) 169-30-00;https://1юц.рф/;[[' ok', 'https://ok.ru/group/54425940263093'], [' vkontakte', 'https://vk.com/uc_ivanov'], [' youtube', 'https://www.youtube.com/channel/UCPCOMpc0_SUhtpr43Jwf51Q']]
Казанский юридический центр; Казань;;http://www.5188888.ru/;[]
